N_Scheduler,Time,N_processes,N_products
2,887,48,1001
2,1447,48,1501
2,1365,48,2001
2,1967,48,2501
2,2302,48,3001
2,2830,48,3501
2,3563,48,4001
2,3459,48,4501
2,3465,48,5001
2,5640,48,5501
2,5286,48,6001
2,4038,48,6501
2,5740,48,7001
2,6127,48,7501
2,5651,48,8001
2,6248,48,8501
2,7886,48,9001
2,8605,48,9501
2,6409,48,10001
2,434,120,1
2,1401,120,501
2,2231,120,1001
2,3613,120,1501
2,3294,120,2001
2,5091,120,2501
2,7551,120,3001
2,9876,120,3501
2,7761,120,4001
2,9945,120,4501
2,12750,120,5001
2,15554,120,5501
2,14182,120,6001
2,12589,120,6501
2,11431,120,7001
2,12485,120,7501
2,15241,120,8001
2,14156,120,8501
2,17620,120,9001
2,18234,120,9501
2,22039,120,10001
2,557,160,1
2,2265,160,501
2,3077,160,1001
2,4079,160,1501
2,4028,160,2001
2,6352,160,2501
2,7048,160,3001
2,9434,160,3501
2,9208,160,4001
2,10506,160,4501
2,13096,160,5001
2,17707,160,5501
2,17105,160,6001
2,20411,160,6501
2,15603,160,7001
2,15661,160,7501
2,16598,160,8001
2,18437,160,8501
2,27643,160,9001
2,29229,160,9501
2,31269,160,10001
2,646,240,1
2,2339,240,501
2,3540,240,1001
2,7498,240,1501
2,5975,240,2001
2,9479,240,2501
2,11076,240,3001
2,13409,240,3501
2,15515,240,4001
2,16877,240,4501
2,19007,240,5001
2,27267,240,5501
2,25660,240,6001
2,27466,240,6501
2,26060,240,7001
2,23710,240,7501
2,26875,240,8001
2,33235,240,8501
2,51838,240,9001
2,42268,240,9501
2,41985,240,10001
2,872,280,1
2,3692,280,501
2,5646,280,1001
2,8771,280,1501
2,8117,280,2001
2,10156,280,2501
2,16237,280,3001
2,17847,280,3501
2,21102,280,4001
2,23885,280,4501
2,18834,280,5001
2,28223,280,5501
2,29366,280,6001
2,24892,280,6501
2,27122,280,7001
2,26031,280,7501
2,31435,280,8001
2,35664,280,8501
2,41868,280,9001
2,37538,280,9501
2,44718,280,10001
2,927,320,1
2,3621,320,501
2,6992,320,1001
2,11987,320,1501
2,11870,320,2001
2,16851,320,2501
2,18140,320,3001
2,23805,320,3501
2,22228,320,4001
2,20948,320,4501
2,21126,320,5001
2,37455,320,5501
2,38375,320,6001
2,29571,320,6501
2,32973,320,7001
2,33891,320,7501
2,36735,320,8001
2,31359,320,8501
2,61856,320,9001
2,44078,320,9501
2,46238,320,10001
2,899,360,1
2,3956,360,501
2,6076,360,1001
2,11626,360,1501
2,13164,360,2001
2,16278,360,2501
2,15624,360,3001
2,21165,360,3501
2,20326,360,4001
2,21462,360,4501
2,25291,360,5001
2,33929,360,5501
2,33237,360,6001
2,33525,360,6501
2,39933,360,7001
2,49353,360,7501
2,49259,360,8001
2,48932,360,8501
2,46394,360,9001
2,66313,360,9501
2,49875,360,10001
2,1073,400,1
2,3578,400,501
2,6133,400,1001
2,11611,400,1501
2,14146,400,2001
2,17267,400,2501
2,21627,400,3001
2,29106,400,3501
2,27805,400,4001
2,30586,400,4501
2,30860,400,5001
2,42398,400,5501
2,31339,400,6001
2,38899,400,6501
2,41632,400,7001
2,56318,400,7501
2,47215,400,8001
2,43957,400,8501
2,56205,400,9001
2,73671,400,9501
2,57396,400,10001
3,35,1,1
3,54,1,501
3,59,1,1001
3,57,1,1501
3,59,1,2001
3,81,1,2501
3,85,1,3001
3,109,1,3501
3,103,1,4001
3,129,1,4501
3,119,1,5001
3,167,1,5501
3,166,1,6001
3,163,1,6501
3,163,1,7001
3,161,1,7501
3,197,1,8001
3,244,1,8501
3,255,1,9001
3,287,1,9501
3,258,1,10001
3,16,2,1
3,51,2,501
3,66,2,1001
3,105,2,1501
3,128,2,2001
3,205,2,2501
3,186,2,3001
3,209,2,3501
3,266,2,4001
3,363,2,4501
3,365,2,5001
3,357,2,5501
3,375,2,6001
3,318,2,6501
3,342,2,7001
3,535,2,7501
3,451,2,8001
3,317,2,8501
3,547,2,9001
3,603,2,9501
3,579,2,10001
3,36,3,1
3,73,3,501
3,102,3,1001
3,152,3,1501
3,151,3,2001
3,246,3,2501
3,221,3,3001
3,263,3,3501
3,351,3,4001
3,330,3,4501
3,339,3,5001
3,437,3,5501
3,517,3,6001
3,496,3,6501
3,477,3,7001
3,510,3,7501
3,398,3,8001
3,429,3,8501
