N_Scheduler,N_Available_Sched,Time,N_processes,N_products,N_processes*N_products,N_products*N_process / time,N_products*N_processes/ (time*n_process),N_products*N_process/(time*N_Schedulers),N_products*N_processes/(time*N_processes*N_Schedulers)
1,8,517,7,1501,10507,20.323017408123793,2.9032882011605414,20.323017408123793,2.9032882011605414
1,8,525,7,2001,14007,26.68,3.8114285714285714,26.68,3.8114285714285714
1,8,661,7,2501,17507,26.485627836611194,3.783661119515885,26.485627836611194,3.783661119515885
1,8,908,7,3001,21007,23.13546255506608,3.305066079295154,23.13546255506608,3.305066079295154
1,8,968,7,3501,24507,25.31714876033058,3.6167355371900825,25.31714876033058,3.6167355371900825
1,8,2230,7,4001,28007,12.559192825112108,1.794170403587444,12.559192825112108,1.794170403587444
1,8,1577,7,4501,31507,19.979074191502853,2.854153455928979,19.979074191502853,2.854153455928979
1,8,1841,7,5001,35007,19.015209125475284,2.7164584464964694,19.015209125475284,2.7164584464964694
1,8,1343,7,5501,38507,28.672375279225616,4.096053611317945,28.672375279225616,4.096053611317945
1,8,1127,7,6001,42007,37.27329192546584,5.324755989352263,37.27329192546584,5.324755989352263
1,8,1472,7,6501,45507,30.91508152173913,4.416440217391305,30.91508152173913,4.416440217391305
1,8,1798,7,7001,49007,27.256395995550612,3.8937708565072304,27.256395995550612,3.8937708565072304
1,8,1216,7,7501,52507,43.18009868421053,6.168585526315789,43.18009868421053,6.168585526315789
1,8,3043,7,8001,56007,18.405192244495563,2.6293131777850807,18.405192244495563,2.6293131777850807
1,8,2448,7,8501,59507,24.30841503267974,3.4726307189542482,24.30841503267974,3.4726307189542482
1,8,2122,7,9001,63007,29.692271442035814,4.241753063147973,29.692271442035814,4.241753063147973
1,8,1884,7,9501,66507,35.30095541401274,5.042993630573249,35.30095541401274,5.042993630573249
1,8,3471,7,10001,70007,20.16911552866609,2.88130221838087,20.16911552866609,2.88130221838087
1,8,85,8,1,8,0.09411764705882353,0.011764705882352941,0.09411764705882353,0.011764705882352941
1,8,317,8,501,4008,12.64353312302839,1.5804416403785488,12.64353312302839,1.5804416403785488
1,8,631,8,1001,8008,12.690966719492868,1.5863708399366085,12.690966719492868,1.5863708399366085
1,8,604,8,1501,12008,19.880794701986755,2.4850993377483444,19.880794701986755,2.4850993377483444
1,8,715,8,2001,16008,22.38881118881119,2.7986013986013987,22.38881118881119,2.7986013986013987
1,8,860,8,2501,20008,23.26511627906977,2.908139534883721,23.26511627906977,2.908139534883721
1,8,860,8,3001,24008,27.91627906976744,3.48953488372093,27.91627906976744,3.48953488372093
1,8,834,8,3501,28008,33.58273381294964,4.197841726618705,33.58273381294964,4.197841726618705
1,8,990,8,4001,32008,32.33131313131313,4.041414141414141,32.33131313131313,4.041414141414141
1,8,2080,8,4501,36008,17.31153846153846,2.1639423076923077,17.31153846153846,2.1639423076923077
1,8,1369,8,5001,40008,29.22425127830533,3.6530314097881664,29.22425127830533,3.6530314097881664
1,8,1550,8,5501,44008,28.392258064516128,3.549032258064516,28.392258064516128,3.549032258064516
1,8,1861,8,6001,48008,25.79688339602364,3.224610424502955,25.79688339602364,3.224610424502955
1,8,2203,8,6501,52008,23.6078075351793,2.9509759418974126,23.6078075351793,2.9509759418974126
1,8,2178,8,7001,56008,25.715335169880625,3.214416896235078,25.715335169880625,3.214416896235078
1,8,1990,8,7501,60008,30.154773869346734,3.7693467336683417,30.154773869346734,3.7693467336683417
1,8,1445,8,8001,64008,44.2961937716263,5.537024221453287,44.2961937716263,5.537024221453287
1,8,1514,8,8501,68008,44.91941875825628,5.614927344782035,44.91941875825628,5.614927344782035
1,8,1890,8,9001,72008,38.0994708994709,4.762433862433863,38.0994708994709,4.762433862433863
1,8,2749,8,9501,76008,27.649327028010184,3.456165878501273,27.649327028010184,3.456165878501273
1,8,2322,8,10001,80008,34.45650301464255,4.307062876830319,34.45650301464255,4.307062876830319
1,8,165,16,1,16,0.09696969696969697,0.006060606060606061,0.09696969696969697,0.006060606060606061
1,8,523,16,501,8016,15.32695984703633,0.9579349904397706,15.32695984703633,0.9579349904397706
1,8,833,16,1001,16016,19.22689075630252,1.2016806722689075,19.22689075630252,1.2016806722689075
1,8,817,16,1501,24016,29.3953488372093,1.8372093023255813,29.3953488372093,1.8372093023255813
1,8,842,16,2001,32016,38.02375296912114,2.3764845605700713,38.02375296912114,2.3764845605700713
1,8,2334,16,2501,40016,17.144815766923735,1.0715509854327334,17.144815766923735,1.0715509854327334
1,8,2169,16,3001,48016,22.13739050253573,1.3835869064084831,22.13739050253573,1.3835869064084831
1,8,2081,16,3501,56016,26.9178279673234,1.6823642479577126,26.9178279673234,1.6823642479577126
1,8,1807,16,4001,64016,35.42667404537908,2.2141671278361925,35.42667404537908,2.2141671278361925
1,8,3007,16,4501,72016,23.94945128034586,1.4968407050216161,23.94945128034586,1.4968407050216161
1,8,2007,16,5001,80016,39.86846038863976,2.491778774289985,39.86846038863976,2.491778774289985
1,8,2337,16,5501,88016,37.66195977749251,2.353872486093282,37.66195977749251,2.353872486093282
1,8,5017,16,6001,96016,19.138130356786924,1.1961331472991827,19.138130356786924,1.1961331472991827
1,8,4480,16,6501,104016,23.21785714285714,1.4511160714285714,23.21785714285714,1.4511160714285714
1,8,4145,16,7001,112016,27.024366706875753,1.6890229191797346,27.024366706875753,1.6890229191797346
1,8,6329,16,7501,120016,18.96286933164797,1.185179333227998,18.96286933164797,1.185179333227998
1,8,5517,16,8001,128016,23.203915171288745,1.4502446982055466,23.203915171288745,1.4502446982055466
1,8,5369,16,8501,136016,25.333581672564723,1.5833488545352952,25.333581672564723,1.5833488545352952
1,8,6961,16,9001,144016,20.688981468179858,1.293061341761241,20.688981468179858,1.293061341761241
1,8,5381,16,9501,152016,28.25051105742427,1.7656569410890168,28.25051105742427,1.7656569410890168
1,8,6155,16,10001,160016,25.997725426482535,1.6248578391551585,25.997725426482535,1.6248578391551585
1,8,383,24,1,24,0.06266318537859007,0.0026109660574412533,0.06266318537859007,0.0026109660574412533
1,8,536,24,501,12024,22.432835820895523,0.9347014925373134,22.432835820895523,0.9347014925373134
1,8,736,24,1001,24024,32.641304347826086,1.360054347826087,32.641304347826086,1.360054347826087
1,8,926,24,1501,36024,38.90280777537797,1.6209503239740821,38.90280777537797,1.6209503239740821
1,8,1248,24,2001,48024,38.48076923076923,1.6033653846153846,38.48076923076923,1.6033653846153846
1,8,1618,24,2501,60024,37.09765142150803,1.545735475896168,37.09765142150803,1.545735475896168
1,8,2316,24,3001,72024,31.098445595854923,1.295768566493955,31.098445595854923,1.295768566493955
1,8,4571,24,3501,84024,18.38197330999781,0.7659155545832422,18.38197330999781,0.7659155545832422
1,8,3144,24,4001,96024,30.541984732824428,1.272582697201018,30.541984732824428,1.272582697201018
1,8,7057,24,4501,108024,15.307354399886638,0.6378064333286099,15.307354399886638,0.6378064333286099
1,8,3408,24,5001,120024,35.21830985915493,1.4674295774647887,35.21830985915493,1.4674295774647887
1,8,5370,24,5501,132024,24.585474860335196,1.0243947858472997,24.585474860335196,1.0243947858472997
1,8,13554,24,6001,144024,10.625940681717575,0.44274752840489895,10.625940681717575,0.44274752840489895
1,8,8092,24,6501,156024,19.281265447355413,0.8033860603064755,19.281265447355413,0.8033860603064755
1,8,8086,24,7001,168024,20.779619094731636,0.8658174622804848,20.779619094731636,0.8658174622804848
1,8,9214,24,7501,180024,19.538094204471456,0.814087258519644,19.538094204471456,0.814087258519644
1,8,8832,24,8001,192024,21.741847826086957,0.9059103260869565,21.741847826086957,0.9059103260869565
1,8,9008,24,8501,204024,22.649200710479573,0.9437166962699822,22.649200710479573,0.9437166962699822
1,8,11351,24,9001,216024,19.03127477755264,0.7929697823980266,19.03127477755264,0.7929697823980266
1,8,7412,24,9501,228024,30.764166216945494,1.2818402590393956,30.764166216945494,1.2818402590393956
1,8,7521,24,10001,240024,31.913841244515357,1.32974338518814,31.913841244515357,1.32974338518814
1,8,250,32,1,32,0.128,0.004,0.128,0.004
1,8,876,32,501,16032,18.301369863013697,0.571917808219178,18.301369863013697,0.571917808219178
1,8,1271,32,1001,32032,25.202202989771834,0.7875688434303698,25.202202989771834,0.7875688434303698
1,8,1983,32,1501,48032,24.221886031265758,0.7569339384770549,24.221886031265758,0.7569339384770549
1,8,4336,32,2001,64032,14.767527675276753,0.46148523985239853,14.767527675276753,0.46148523985239853
1,8,3588,32,2501,80032,22.30546265328874,0.6970457079152731,22.30546265328874,0.6970457079152731
1,8,3518,32,3001,96032,27.29732802728823,0.8530415008527572,27.29732802728823,0.8530415008527572
1,8,3923,32,3501,112032,28.557736426204436,0.8924292633188886,28.557736426204436,0.8924292633188886
1,8,3506,32,4001,128032,36.51796919566458,1.141186537364518,36.51796919566458,1.141186537364518
1,8,4065,32,4501,144032,35.432226322263226,1.1072570725707258,35.432226322263226,1.1072570725707258
